股票代號,詢圈/競拍,標的代號,發行標的,TCRI/擔保,發行量,發行券商,送件日,生效日,詢圈/投標期間,溢價率,轉換價,掛牌日,可拆解選擇權日,承銷價格,年期,賣回條件,股本,股價,60天波動率,備註
2301,詢圈,23012,光寶二,TCRI3,80.0,元大證券,2025/12/05,2025/12/23,未定,110-120%,-,未定,未定,100,5Y,YTP(3)=(0-0.25%),231.6775763,153.5,52.62,
3702,詢圈,370201,大聯大E1,TCRI4,30.0,凱基證券,2025/12/05,2025/12/16,未定,102-130%,-,未定,未定,100-101,3Y,YTM(3)=(0%),167.9056833,63.6,27.43,轉交換文曄
8021,競拍,80212,尖點二,TCRI4,7.0,福邦證券,2025/12/05,2025/12/23,未定,102-110%,-,未定,未定,100,5Y,YTP(3)=(0%),14.204246699999999,162.5,81.88,
6101,競拍,61011,寬魚國際一,有擔保,1.5,富邦證券,2025/12/08,2026/01/07,未定,102-105%,-,未定,未定,100.5,3Y,YTP(2)=(0%),11.4618371,37.15,8.85,
6101,詢圈,61012,寬魚國際二,-,2.5,富邦證券,2025/12/08,2026/01/07,未定,105.01-110%,-,未定,未定,100,3Y,YTP(2)=(0-0.5%),11.4618371,37.15,8.85,
8210,詢圈,82102,勤誠二,TCRI4,8.0,元大證券,2025/12/09,2025/12/26,未定,105.1-108%,-,未定,未定,100-102,3Y,YTM(3)=(0%),12.5319146,915.0,53.35,
8210,競拍,82103,勤誠三,TCRI4,7.0,元大證券,2025/12/09,2025/12/26,未定,102-108%,-,未定,未定,102,3Y,YTM(3)=(0%),12.5319146,915.0,53.35,
6603,詢圈,66034,富強鑫四,TCRI6,4.0,統一證券,2025/12/10,2025/12/29,未定,105.01-110%,-,未定,未定,100,3Y,YTP(2)=(0%),16.7220592,24.5,39.14,
6672,詢圈,66721,騰輝一KY,TCRI6,5.0,永豐金證券,2025/12/11,2025/12/30,未定,105.1-110%,-,未定,未定,100-101,5Y,YTP(2)=(0-0.5%),7.1434745,87.4,37.68,
6672,競拍,66722,騰輝二KY,TCRI6,5.0,永豐金證券,2025/12/11,2025/12/30,未定,1.02,-,未定,未定,100,5Y,YTP(2)=(0-0.5%),7.1434745,87.4,37.68,
2233,詢圈,22331,宇隆一,TCRI4,13.0,台新證券,2025/12/12,2025/12/31,未定,106-115%,-,未定,未定,100-102,3Y,YTM(3)=(0%),6.0288089000000005,187.5,45.82,
2455,詢圈,24552,全新二,TCRI5,5.0,群益金鼎證,2025/12/15,2026/01/02,未定,105.01-110%,-,未定,未定,100,3Y,YTM(3)=(0%),18.4905918,139.0,43.64,
2455,競拍,24553,全新三,TCRI5,5.0,群益金鼎證,2025/12/15,2026/01/02,未定,100-110%,-,未定,未定,102,3Y,YTM(3)=(0%),18.4905918,139.0,43.64,
